date,PRCP,station,SNOW,SNWD,TMAX,TMIN,WT08,WT16,WT03,WT01,WT18,TSUN,WT02,WT05,PGTM,AWND,FMTM,WDF2,WDF5,WSF2,WSF5,WT13,TAVG,WT07
1961-11-27T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,58.0,40.0,1.0,1.0,,,,,,,,,,,,,,,,
1961-11-28T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,42.0,27.0,1.0,,,,,,,,,,,,,,,,,
1961-11-29T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,43.0,22.0,,,,,,,,,,,,,,,,,,
1961-11-30T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,57.0,20.0,1.0,,,,,,,,,,,,,,,,,
1961-12-01T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,60.0,38.0,,,,,,,,,,,,,,,,,,
1961-12-02T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,62.0,52.0,,1.0,,,,,,,,,,,,,,,,
1961-12-03T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,73.0,52.0,,,,,,,,,,,,,,,,,,
1961-12-04T00:00:00,0.61,GHCND:USW00013897,0.0,0.0,70.0,57.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-12-05T00:00:00,0.02,GHCND:USW00013897,0.0,0.0,57.0,38.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-12-06T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,59.0,34.0,,,,,,,,,,,,,,,,,,
1961-12-07T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,48.0,32.0,,,,,,,,,,,,,,,,,,
1961-12-08T00:00:00,0.01,GHCND:USW00013897,0.0,0.0,41.0,30.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
1961-12-09T00:00:00,2.44,GHCND:USW00013897,0.0,0.0,54.0,35.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-12-10T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,54.0,43.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1961-12-11T00:00:00,0.45,GHCND:USW00013897,0.0,0.0,55.0,42.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1961-12-12T00:00:00,0.05,GHCND:USW00013897,0.0,0.0,59.0,23.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1961-12-13T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,32.0,19.0,,,,,,,,,,,,,,,,,,
1961-12-14T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,44.0,21.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
1961-12-15T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,46.0,35.0,,,,,,,,,,,,,,,,,,
1961-12-16T00:00:00,0.99,GHCND:USW00013897,0.0,0.0,56.0,40.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-12-17T00:00:00,0.72,GHCND:USW00013897,0.0,0.0,57.0,47.0,,1.0,,1.0,,,,,,,,,,,,,,
1961-12-18T00:00:00,0.24,GHCND:USW00013897,0.0,0.0,50.0,43.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
1961-12-19T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,53.0,38.0,,,,,,,,,,,,,,,,,,
1961-12-20T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,39.0,35.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
1961-12-21T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,48.0,29.0,1.0,,,,,,,,,,,,,,,,,
1961-12-22T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,56.0,28.0,,1.0,,,,,,,,,,,,,,,,
1961-12-23T00:00:00,0.1,GHCND:USW00013897,0.7,0.0,44.0,23.0,,1.0,,,1.0,,,,,,,,,,,,,
1961-12-24T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,33.0,27.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
1961-12-25T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,38.0,28.0,,,,,,,,,,,,,,,,,,
1961-12-26T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,57.0,27.0,,1.0,,,,,,,,,,,,,,,,
1961-12-27T00:00:00,0.61,GHCND:USW00013897,0.0,0.0,48.0,23.0,,1.0,,1.0,1.0,,,,,,,,,,,,,
1961-12-28T00:00:00,0.0,GHCND:USW00013897,0.5,0.0,29.0,12.0,,,,,1.0,,,,,,,,,,,,,
1961-12-29T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,30.0,10.0,,,,,,,,,,,,,,,,,,
