date,PGTM,station,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT01,WT16,WT18,WT03,TSUN,WT02,WT05,AWND,FMTM,WDF2,WSF2,WT13,TAVG,WDF5,WSF5,WT07
1961-10-08T00:00:00,1306.0,GHCND:USW00013743,0.0,0.0,0.0,78.0,55.0,1.0,,,,,,,,,,,,,,,,
1961-10-09T00:00:00,1236.0,GHCND:USW00013743,0.0,0.0,0.0,77.0,58.0,1.0,,,,,,,,,,,,,,,,
1961-10-10T00:00:00,1430.0,GHCND:USW00013743,0.0,0.0,0.0,81.0,56.0,1.0,,,,,,,,,,,,,,,,
1961-10-11T00:00:00,1430.0,GHCND:USW00013743,0.0,0.0,0.0,79.0,51.0,1.0,1.0,,,,,,,,,,,,,,,
1961-10-12T00:00:00,712.0,GHCND:USW00013743,0.0,0.0,0.0,73.0,54.0,1.0,1.0,,,,,,,,,,,,,,,
1961-10-13T00:00:00,1554.0,GHCND:USW00013743,0.0,0.0,0.0,82.0,57.0,1.0,1.0,,,,,,,,,,,,,,,
1961-10-14T00:00:00,1436.0,GHCND:USW00013743,0.56,0.0,0.0,67.0,47.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1961-10-15T00:00:00,718.0,GHCND:USW00013743,0.0,0.0,0.0,58.0,46.0,,,1.0,,,,,,,,,,,,,,
1961-10-16T00:00:00,1000.0,GHCND:USW00013743,0.0,0.0,0.0,61.0,45.0,,,,,,,,,,,,,,,,,
1961-10-17T00:00:00,1648.0,GHCND:USW00013743,0.0,0.0,0.0,71.0,43.0,1.0,,,,,,,,,,,,,,,,
1961-10-18T00:00:00,1624.0,GHCND:USW00013743,0.0,0.0,0.0,77.0,47.0,1.0,,,,,,,,,,,,,,,,
1961-10-19T00:00:00,1600.0,GHCND:USW00013743,0.0,0.0,0.0,75.0,51.0,1.0,,,,,,,,,,,,,,,,
1961-10-20T00:00:00,1418.0,GHCND:USW00013743,0.01,0.0,0.0,71.0,55.0,1.0,1.0,1.0,,,,,,,,,,,,,,
